32,bus,0.9197,1,1360,158,1712,426
32,car,0.6427,2,1304,308,1356,363
33,bus,0.9261,1,1358,160,1701,426
33,car,0.6257,2,1303,308,1355,363
34,bus,0.9206,1,1355,161,1694,429
34,car,0.6165,2,1302,308,1354,363
35,bus,0.9115,1,1355,163,1691,429
36,bus,0.9201,1,1355,166,1681,427
36,car,0.6001,2,1302,310,1351,362
37,bus,0.9190,1,1354,166,1674,425
38,bus,0.9082,1,1352,168,1668,424
39,bus,0.9029,1,1351,167,1661,422
40,bus,0.9094,1,1349,169,1655,421
41,bus,0.9247,1,1349,172,1649,417
42,bus,0.9319,1,1346,175,1644,416
43,bus,0.9286,1,1344,176,1637,415
44,bus,0.9290,1,1343,178,1635,414
45,bus,0.9200,1,1342,179,1630,412
46,bus,0.9227,1,1341,181,1626,412
47,bus,0.9172,1,1341,182,1623,413
48,bus,0.9207,1,1340,184,1615,413
49,bus,0.9157,1,1340,185,1612,412
50,bus,0.9254,1,1340,188,1603,411
51,bus,0.9388,1,1337,188,1598,411
52,bus,0.9230,1,1336,189,1595,411
53,bus,0.9220,1,1335,190,1591,411
54,bus,0.9191,1,1334,191,1591,409
55,bus,0.9009,1,1334,191,1584,409
56,bus,0.9047,1,1334,192,1579,408
57,bus,0.9100,1,1334,192,1575,407
58,bus,0.9141,1,1333,193,1570,406
59,bus,0.9050,1,1332,195,1567,404
60,bus,0.8941,1,1333,195,1563,404
61,bus,0.9090,1,1333,196,1561,404
62,bus,0.9010,1,1333,198,1555,405
63,bus,0.8806,1,1330,198,1551,405
64,bus,0.8669,1,1328,198,1548,403
65,bus,0.8438,1,1327,199,1543,401
66,bus,0.8057,1,1326,200,1539,400
67,bus,0.7635,1,1325,201,1536,397
68,bus,0.7675,1,1324,202,1533,396
69,bus,0.7433,1,1323,204,1530,395
70,bus,0.7577,1,1324,205,1527,397
71,bus,0.7598,1,1322,205,1524,396
72,bus,0.7684,1,1320,208,1523,394
72,car,0.6031,2,1286,319,1323,358
73,bus,0.7849,1,1320,209,1520,393
74,bus,0.7735,1,1320,210,1516,392
75,bus,0.7821,1,1319,210,1513,392
76,bus,0.7469,1,1319,211,1510,391
77,bus,0.6812,1,1318,212,1507,391
78,bus,0.6838,1,1318,212,1505,390
79,bus,0.6094,1,1317,213,1503,390
80,bus,0.7689,1,1316,214,1500,390
81,bus,0.7907,1,1316,215,1499,389
82,bus,0.7762,1,1316,215,1497,390
83,bus,0.7751,1,1314,215,1495,389
84,bus,0.7372,1,1314,215,1491,388
85,bus,0.7066,1,1314,216,1489,388
86,bus,0.6601,1,1316,216,1486,387
